Year,StockKeyLabel,FisheriesGuild,Purpose,F,SSB,fishingPressureDescription,stockSizeDescription,landings,catches,discards,AssessmentYear,Flim,Fpa,Bpa,Blim,FMSY,MSYBtrigger
1988,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,14096,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12176,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,11441,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,10295,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12668,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,11188,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7953,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7857,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,8263,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7165,NA,NA,2019,NA,NA,NA,NA,NA,NA
1998,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,10277,NA,NA,2019,NA,NA,NA,NA,NA,NA
1999,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,8596,NA,NA,2019,NA,NA,NA,NA,NA,NA
2000,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,7654,NA,NA,2019,NA,NA,NA,NA,NA,NA
2001,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,16549,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,8672,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,9969,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,16817,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,17595,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,25496,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,16374,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,13424,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,aru.27.123a4,pelagic,Advice,NA,216783,F,B_index,13495,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12898,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,12064,NA,NA,2019,NA,NA,NA,NA,NA,NA
2012,aru.27.123a4,pelagic,Advice,NA,177897,F,B_index,12485,NA,NA,2019,NA,NA,NA,NA,NA,NA
2013,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,13229,NA,NA,2019,NA,NA,NA,NA,NA,NA
2014,aru.27.123a4,pelagic,Advice,NA,328143,F,B_index,15062,NA,NA,2019,NA,NA,NA,NA,NA,NA
2015,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,15236,NA,NA,2019,NA,NA,NA,NA,NA,NA
2016,aru.27.123a4,pelagic,Advice,NA,571561,F,B_index,18893,NA,NA,2019,NA,NA,NA,NA,NA,NA
2017,aru.27.123a4,pelagic,Advice,NA,NA,F,B_index,17835,NA,NA,2019,NA,NA,NA,NA,NA,NA
2018,aru.27.123a4,pelagic,Advice,NA,301611,F,B_index,23859,NA,NA,2019,NA,NA,NA,NA,NA,NA
1988,bli.27.nea,demersal,Advice,NA,NA,F,SSB,4195,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,bli.27.nea,demersal,Advice,NA,NA,F,SSB,2616,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,bli.27.nea,demersal,Advice,NA,NA,F,SSB,2484,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,bli.27.nea,demersal,Advice,NA,NA,F,SSB,3270,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,bli.27.nea,demersal,Advice,NA,NA,F,SSB,2606,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,bli.27.nea,demersal,Advice,NA,NA,F,SSB,4792,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1613,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1434,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1248,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,bli.27.nea,demersal,Advice,NA,NA,F,SSB,999,NA,NA,2019,NA,NA,NA,NA,NA,NA
1998,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1003,NA,NA,2019,NA,NA,NA,NA,NA,NA
1999,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1915,NA,NA,2019,NA,NA,NA,NA,NA,NA
2000,bli.27.nea,demersal,Advice,NA,NA,F,SSB,989,NA,NA,2019,NA,NA,NA,NA,NA,NA
2001,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1160,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1853,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1450,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1182,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1023,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,bli.27.nea,demersal,Advice,NA,NA,F,SSB,839,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,bli.27.nea,demersal,Advice,NA,NA,F,SSB,678,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,bli.27.nea,demersal,Advice,NA,NA,F,SSB,973,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,bli.27.nea,demersal,Advice,NA,NA,F,SSB,687,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,bli.27.nea,demersal,Advice,NA,NA,F,SSB,628,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,bli.27.nea,demersal,Advice,NA,NA,F,SSB,720,NA,NA,2019,NA,NA,NA,NA,NA,NA
2012,bli.27.nea,demersal,Advice,NA,NA,F,SSB,1137,NA,NA,2019,NA,NA,NA,NA,NA,NA
2013,bli.27.nea,demersal,Advice,NA,NA,F,SSB,500,NA,NA,2019,NA,NA,NA,NA,NA,NA
2014,bli.27.nea,demersal,Advice,NA,NA,F,SSB,261,NA,NA,2019,NA,NA,NA,NA,NA,NA
2015,bli.27.nea,demersal,Advice,NA,NA,F,SSB,208,NA,NA,2019,NA,NA,NA,NA,NA,NA
2016,bli.27.nea,demersal,Advice,NA,NA,F,SSB,205,NA,NA,2019,NA,NA,NA,NA,NA,NA
2017,bli.27.nea,demersal,Advice,NA,NA,F,SSB,279,NA,1,2019,NA,NA,NA,NA,NA,NA
2018,bli.27.nea,demersal,Advice,NA,NA,F,SSB,348,NA,0,2019,NA,NA,NA,NA,NA,NA
1988,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,3,NA,2018,NA,NA,NA,NA,NA,NA
1989,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,4,NA,2018,NA,NA,NA,NA,NA,NA
1990,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,5,NA,2018,NA,NA,NA,NA,NA,NA
1991,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
1992,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,9,NA,2018,NA,NA,NA,NA,NA,NA
1993,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,10,NA,2018,NA,NA,NA,NA,NA,NA
1994,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,8,NA,2018,NA,NA,NA,NA,NA,NA
1995,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,8,NA,2018,NA,NA,NA,NA,NA,NA
1996,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,8,NA,2018,NA,NA,NA,NA,NA,NA
1997,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
1998,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,6,NA,2018,NA,NA,NA,NA,NA,NA
1999,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,5,NA,2018,NA,NA,NA,NA,NA,NA
2000,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2001,bsf.27.nea,pelagic,Advice,0.094,44.983,Harvest rate,Other Stock Size,NA,10,NA,2018,NA,NA,NA,NA,NA,NA
2002,bsf.27.nea,pelagic,Advice,0.078,61.364,Harvest rate,Other Stock Size,NA,12,NA,2018,NA,NA,NA,NA,NA,NA
2003,bsf.27.nea,pelagic,Advice,0.092,66.101,Harvest rate,Other Stock Size,NA,8,NA,2018,NA,NA,NA,NA,NA,NA
2004,bsf.27.nea,pelagic,Advice,0.059,72.54,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2005,bsf.27.nea,pelagic,Advice,0.05,74.77,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2006,bsf.27.nea,pelagic,Advice,0.086,52.494,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2007,bsf.27.nea,pelagic,Advice,0.076,52.889,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2008,bsf.27.nea,pelagic,Advice,0.08,57.855,Harvest rate,Other Stock Size,NA,8,NA,2018,NA,NA,NA,NA,NA,NA
2009,bsf.27.nea,pelagic,Advice,0.083,53.832,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2010,bsf.27.nea,pelagic,Advice,0.083,48.026,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2011,bsf.27.nea,pelagic,Advice,0.075,54.665,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2012,bsf.27.nea,pelagic,Advice,0.065,53.275,Harvest rate,Other Stock Size,NA,7,NA,2018,NA,NA,NA,NA,NA,NA
2013,bsf.27.nea,pelagic,Advice,0.068,56.412,Harvest rate,Other Stock Size,NA,6,NA,2018,NA,NA,NA,NA,NA,NA
2014,bsf.27.nea,pelagic,Advice,0.057,70.142,Harvest rate,Other Stock Size,NA,6,NA,2018,NA,NA,NA,NA,NA,NA
2015,bsf.27.nea,pelagic,Advice,0.054,74.081,Harvest rate,Other Stock Size,NA,6,NA,2018,NA,NA,NA,NA,NA,NA
2016,bsf.27.nea,pelagic,Advice,0.056,73.647,Harvest rate,Other Stock Size,NA,6,NA,2018,NA,NA,NA,NA,NA,NA
2017,bsf.27.nea,pelagic,Advice,NA,NA,Harvest rate,Other Stock Size,NA,5,NA,2018,NA,NA,NA,NA,NA,NA
1977,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,3680,NA,NA,2019,NA,NA,NA,NA,NA,NA
1978,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,3641,NA,NA,2019,NA,NA,NA,NA,NA,NA
1979,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,5266,NA,NA,2019,NA,NA,NA,NA,NA,NA
1980,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,3725,NA,NA,2019,NA,NA,NA,NA,NA,NA
1981,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1800,NA,NA,2019,NA,NA,NA,NA,NA,NA
1982,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2156,NA,NA,2019,NA,NA,NA,NA,NA,NA
1983,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1761,NA,NA,2019,NA,NA,NA,NA,NA,NA
1984,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2062,NA,NA,2019,NA,NA,NA,NA,NA,NA
1985,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1465,NA,NA,2019,NA,NA,NA,NA,NA,NA
1986,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1144,NA,NA,2019,NA,NA,NA,NA,NA,NA
1987,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,165,NA,NA,2019,NA,NA,NA,NA,NA,NA
1988,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,106,NA,NA,2019,NA,NA,NA,NA,NA,NA
1989,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,593,NA,NA,2019,NA,NA,NA,NA,NA,NA
1990,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,897,NA,NA,2019,NA,NA,NA,NA,NA,NA
1991,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,753,NA,NA,2019,NA,NA,NA,NA,NA,NA
1992,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1697,NA,NA,2019,NA,NA,NA,NA,NA,NA
1993,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1374,NA,NA,2019,NA,NA,NA,NA,NA,NA
1994,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1078,NA,NA,2019,NA,NA,NA,NA,NA,NA
1995,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,629,NA,NA,2019,NA,NA,NA,NA,NA,NA
1996,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,793,NA,NA,2019,NA,NA,NA,NA,NA,NA
1997,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,471,NA,NA,2019,NA,NA,NA,NA,NA,NA
1998,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,56,NA,NA,2019,NA,NA,NA,NA,NA,NA
1999,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,33,NA,NA,2019,NA,NA,NA,NA,NA,NA
2000,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,119,NA,NA,2019,NA,NA,NA,NA,NA,NA
2001,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,83,NA,NA,2019,NA,NA,NA,NA,NA,NA
2002,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,55,NA,NA,2019,NA,NA,NA,NA,NA,NA
2003,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,129,NA,NA,2019,NA,NA,NA,NA,NA,NA
2004,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,99,NA,NA,2019,NA,NA,NA,NA,NA,NA
2005,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,223,NA,NA,2019,NA,NA,NA,NA,NA,NA
2006,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,17,NA,NA,2019,NA,NA,NA,NA,NA,NA
2007,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,26,NA,NA,2019,NA,NA,NA,NA,NA,NA
2008,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,5,NA,NA,2019,NA,NA,NA,NA,NA,NA
2009,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2010,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,1,NA,NA,2019,NA,NA,NA,NA,NA,NA
2011,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,2,NA,NA,2019,NA,NA,NA,NA,NA,NA
2012,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,24,NA,NA,2019,NA,NA,NA,NA,NA,NA
2013,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2014,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
2015,bsk.27.nea,elasmobranch,Advice,NA,NA,F,SSB,0,NA,NA,2019,NA,NA,NA,NA,NA,NA
