FisheriesGuild,Year,Metric,Value
demersal,1946,F_FMEAN,0.542164880822217
demersal,1947,F_FMEAN,0.801793133610321
demersal,1948,F_FMEAN,0.799247758582987
demersal,1949,F_FMEAN,0.926516509949705
demersal,1950,F_FMEAN,1.40886507762957
demersal,1951,F_FMEAN,1.4152285151979
demersal,1952,F_FMEAN,1.55904220424229
demersal,1953,F_FMEAN,1.19505357533348
demersal,1954,F_FMEAN,1.14669144981413
demersal,1955,F_FMEAN,1.15814563743713
demersal,1956,F_FMEAN,1.33504920183687
demersal,1957,F_FMEAN,1.18741745025148
demersal,1958,F_FMEAN,1.29814126394052
demersal,1959,F_FMEAN,1.24977913842117
demersal,1960,F_FMEAN,1.14372184561557
demersal,1961,F_FMEAN,1.30747430570741
demersal,1962,F_FMEAN,1.46783293242948
demersal,1963,F_FMEAN,1.56370872512574
demersal,1964,F_FMEAN,1.37026022304833
demersal,1965,F_FMEAN,1.1954778045047
demersal,1966,F_FMEAN,1.14202492893068
demersal,1967,F_FMEAN,1.07923901158977
demersal,1968,F_FMEAN,1.07160288650776
demersal,1969,F_FMEAN,1.15644872075224
demersal,1970,F_FMEAN,1.1878416794227
demersal,1971,F_FMEAN,1.05972446971354
demersal,1972,F_FMEAN,1.38468401486989
demersal,1973,F_FMEAN,1.2523245134485
demersal,1974,F_FMEAN,1.42201618193746
demersal,1975,F_FMEAN,1.43050076536191
demersal,1976,F_FMEAN,1.66128143450689
demersal,1977,F_FMEAN,1.7410365186967
demersal,1978,F_FMEAN,1.81570085283184
demersal,1979,F_FMEAN,1.64685764268533
demersal,1980,F_FMEAN,1.52213426634594
demersal,1981,F_FMEAN,1.46698447408703
demersal,1982,F_FMEAN,1.46783293242948
demersal,1983,F_FMEAN,1.48140826590859
demersal,1984,F_FMEAN,1.60422261097748
demersal,1985,F_FMEAN,1.4947714848021
demersal,1986,F_FMEAN,1.65003936146949
demersal,1987,F_FMEAN,1.78239886289088
demersal,1988,F_FMEAN,1.73467308112836
demersal,1989,F_FMEAN,1.1575092936803
demersal,1990,F_FMEAN,0.970806035425323
demersal,1991,F_FMEAN,0.831828558932867
demersal,1992,F_FMEAN,0.809005029521102
demersal,1993,F_FMEAN,0.830216488082222
demersal,1994,F_FMEAN,0.926516509949705
demersal,1995,F_FMEAN,0.868397113492237
demersal,1996,F_FMEAN,0.92566805160726
demersal,1997,F_FMEAN,0.99312048983162
demersal,1998,F_FMEAN,1.02621036518697
demersal,1999,F_FMEAN,1.04020992783731
demersal,2000,F_FMEAN,0.862457905095124
demersal,2001,F_FMEAN,0.756824841460748
demersal,2002,F_FMEAN,0.72882571616007
demersal,2003,F_FMEAN,0.687251257380275
demersal,2004,F_FMEAN,0.745794883008966
demersal,2005,F_FMEAN,0.753855237262191
demersal,2006,F_FMEAN,0.734764924557183
demersal,2007,F_FMEAN,0.624889569210584
demersal,2008,F_FMEAN,0.56040673518478
demersal,2009,F_FMEAN,0.547679860048109
demersal,2010,F_FMEAN,0.560830964356003
demersal,2011,F_FMEAN,0.559558276842336
demersal,2012,F_FMEAN,0.512893068007872
demersal,2013,F_FMEAN,0.477682046796414
demersal,2014,F_FMEAN,0.468349005029521
demersal,2015,F_FMEAN,0.508650776295648
demersal,2016,F_FMEAN,0.577800131204898
demersal,2017,F_FMEAN,0.711432320139952
demersal,2018,F_FMEAN,0.681142357314673
demersal,1946,F_FMSY,0.5325
demersal,1947,F_FMSY,0.7875
demersal,1948,F_FMSY,0.785
demersal,1949,F_FMSY,0.91
demersal,1950,F_FMSY,1.51446428571429
demersal,1951,F_FMSY,1.5125
demersal,1952,F_FMSY,1.65714285714286
demersal,1953,F_FMSY,1.27089285714286
demersal,1954,F_FMSY,1.21285714285714
demersal,1955,F_FMSY,1.21035714285714
demersal,1956,F_FMSY,1.38910714285714
demersal,1957,F_FMSY,1.23910714285714
demersal,1958,F_FMSY,1.36303571428571
demersal,1959,F_FMSY,1.30785714285714
demersal,1960,F_FMSY,1.44
demersal,1961,F_FMSY,1.75303571428571
demersal,1962,F_FMSY,2.00321428571429
demersal,1963,F_FMSY,2.12392857142857
demersal,1964,F_FMSY,1.78089285714286
demersal,1965,F_FMSY,1.49946428571429
demersal,1966,F_FMSY,1.40535714285714
demersal,1967,F_FMSY,1.32285714285714
demersal,1968,F_FMSY,1.41232142857143
demersal,1969,F_FMSY,1.53303571428571
demersal,1970,F_FMSY,1.43410714285714
demersal,1971,F_FMSY,1.21410714285714
demersal,1972,F_FMSY,1.74946428571429
demersal,1973,F_FMSY,1.48875
demersal,1974,F_FMSY,1.59517857142857
demersal,1975,F_FMSY,1.52517857142857
demersal,1976,F_FMSY,1.86232142857143
demersal,1977,F_FMSY,2.07178571428571
demersal,1978,F_FMSY,2.09375
demersal,1979,F_FMSY,1.79321428571429
demersal,1980,F_FMSY,1.61857142857143
demersal,1981,F_FMSY,1.53625
demersal,1982,F_FMSY,1.53321428571429
demersal,1983,F_FMSY,1.49285714285714
demersal,1984,F_FMSY,1.53875
demersal,1985,F_FMSY,1.56053571428571
demersal,1986,F_FMSY,1.92428571428571
demersal,1987,F_FMSY,2.21785714285714
demersal,1988,F_FMSY,1.95535714285714
demersal,1989,F_FMSY,1.24125
demersal,1990,F_FMSY,3.86349206349206
demersal,1991,F_FMSY,2.86384920634921
demersal,1992,F_FMSY,2.57111111111111
demersal,1993,F_FMSY,2.63829365079365
demersal,1994,F_FMSY,2.9575
demersal,1995,F_FMSY,2.55769841269841
demersal,1996,F_FMSY,2.80119047619048
demersal,1997,F_FMSY,2.96535714285714
demersal,1998,F_FMSY,3.18095238095238
demersal,1999,F_FMSY,3.30730158730159
demersal,2000,F_FMSY,2.68710317460317
demersal,2001,F_FMSY,2.18123015873016
demersal,2002,F_FMSY,2.00710317460317
demersal,2003,F_FMSY,1.78190476190476
demersal,2004,F_FMSY,1.86063492063492
demersal,2005,F_FMSY,1.85333333333333
demersal,2006,F_FMSY,1.82123015873016
demersal,2007,F_FMSY,1.64257936507936
demersal,2008,F_FMSY,1.40646825396825
demersal,2009,F_FMSY,1.34952380952381
demersal,2010,F_FMSY,1.62861111111111
demersal,2011,F_FMSY,1.47285714285714
demersal,2012,F_FMSY,1.51615079365079
demersal,2013,F_FMSY,1.69630952380952
demersal,2014,F_FMSY,1.60916666666667
demersal,2015,F_FMSY,1.51039682539683
demersal,2016,F_FMSY,1.99087301587302
demersal,2017,F_FMSY,2.62376984126984
demersal,2018,F_FMSY,1.0675
demersal,1946,SSB_MSYBtrigger,2.15401956521739
demersal,1947,SSB_MSYBtrigger,2.22034565217391
demersal,1948,SSB_MSYBtrigger,1.81989347826087
demersal,1949,SSB_MSYBtrigger,1.35799130434783
demersal,1950,SSB_MSYBtrigger,1.92626820652174
demersal,1951,SSB_MSYBtrigger,1.34892581521739
demersal,1952,SSB_MSYBtrigger,1.18091385869565
demersal,1953,SSB_MSYBtrigger,1.17968070652174
demersal,1954,SSB_MSYBtrigger,1.50248206521739
demersal,1955,SSB_MSYBtrigger,2.06241548913043
demersal,1956,SSB_MSYBtrigger,2.38493260869565
demersal,1957,SSB_MSYBtrigger,1.83494782608696
demersal,1958,SSB_MSYBtrigger,1.38978722826087
demersal,1959,SSB_MSYBtrigger,1.29318070652174
demersal,1960,SSB_MSYBtrigger,1.16662635869565
demersal,1961,SSB_MSYBtrigger,1.2235214673913
demersal,1962,SSB_MSYBtrigger,1.1205625
demersal,1963,SSB_MSYBtrigger,0.839606793478261
demersal,1964,SSB_MSYBtrigger,0.75005
demersal,1965,SSB_MSYBtrigger,0.742247554347826
demersal,1966,SSB_MSYBtrigger,0.97101902173913
demersal,1967,SSB_MSYBtrigger,1.05489375
demersal,1968,SSB_MSYBtrigger,1.25192581521739
demersal,1969,SSB_MSYBtrigger,1.17283206521739
demersal,1970,SSB_MSYBtrigger,1.18861385869565
demersal,1971,SSB_MSYBtrigger,1.11467092391304
demersal,1972,SSB_MSYBtrigger,1.16306195652174
demersal,1973,SSB_MSYBtrigger,1.13699510869565
demersal,1974,SSB_MSYBtrigger,1.20846983695652
demersal,1975,SSB_MSYBtrigger,1.32756576086957
