FisheriesGuild,StockKeyLabel,Year,Metric,Value
demersal,cod.27.1-2,1946,F/F[MSY],0.5325
demersal,cod.27.1-2,1947,F/F[MSY],0.7875
demersal,cod.27.1-2,1948,F/F[MSY],0.785
demersal,cod.27.1-2,1949,F/F[MSY],0.91
demersal,cod.27.1-2,1950,F/F[MSY],0.9375
demersal,cod.27.1-2,1951,F/F[MSY],1.065
demersal,cod.27.1-2,1952,F/F[MSY],1.3
demersal,cod.27.1-2,1953,F/F[MSY],0.9875
demersal,cod.27.1-2,1954,F/F[MSY],1.04
demersal,cod.27.1-2,1955,F/F[MSY],1.255
demersal,cod.27.1-2,1956,F/F[MSY],1.5325
demersal,cod.27.1-2,1957,F/F[MSY],1.3125
demersal,cod.27.1-2,1958,F/F[MSY],1.3175
demersal,cod.27.1-2,1959,F/F[MSY],1.33
demersal,cod.27.1-2,1960,F/F[MSY],1.28
demersal,cod.27.1-2,1961,F/F[MSY],1.6175
demersal,cod.27.1-2,1962,F/F[MSY],1.895
demersal,cod.27.1-2,1963,F/F[MSY],2.185
demersal,cod.27.1-2,1964,F/F[MSY],1.6875
demersal,cod.27.1-2,1965,F/F[MSY],1.3875
demersal,cod.27.1-2,1966,F/F[MSY],1.265
demersal,cod.27.1-2,1967,F/F[MSY],1.34
demersal,cod.27.1-2,1968,F/F[MSY],1.4475
demersal,cod.27.1-2,1969,F/F[MSY],1.8975
demersal,cod.27.1-2,1970,F/F[MSY],1.7425
demersal,cod.27.1-2,1971,F/F[MSY],1.4625
demersal,cod.27.1-2,1972,F/F[MSY],1.7275
demersal,cod.27.1-2,1973,F/F[MSY],1.5175
demersal,cod.27.1-2,1974,F/F[MSY],1.5875
demersal,cod.27.1-2,1975,F/F[MSY],1.5875
demersal,cod.27.1-2,1976,F/F[MSY],1.6475
demersal,cod.27.1-2,1977,F/F[MSY],2.015
demersal,cod.27.1-2,1978,F/F[MSY],2.4275
demersal,cod.27.1-2,1979,F/F[MSY],1.955
demersal,cod.27.1-2,1980,F/F[MSY],1.94
demersal,cod.27.1-2,1981,F/F[MSY],1.9125
demersal,cod.27.1-2,1982,F/F[MSY],2.035
demersal,cod.27.1-2,1983,F/F[MSY],1.94
demersal,cod.27.1-2,1984,F/F[MSY],2.2175
demersal,cod.27.1-2,1985,F/F[MSY],1.9725
