StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
bli.27.nea,demersal,NA,NA,348,0,NA,NA,NA,NA,NA,NA,NA,GREY,778627
cod.27.1-2,demersal,1.055,778627,778627,NA,0.4,0.422,2019,2019,3.25137608695652,1495633,460000,RED,778627
cod.27.1-2coast,demersal,NA,NA,36375,NA,NA,0.268,NA,NA,NA,NA,NA,GREY,778627
gfb.27.nea,demersal,NA,2016,1503,513,NA,NA,NA,NA,NA,NA,NA,GREY,778627
ghl.27.1-2,demersal,NA,28544,28544,NA,NA,0.039,2019,2019,NA,715671,NA,GREY,778627
had.27.1-2,demersal,1.08,191276,191276,NA,0.35,0.378,2019,2019,2.7530625,220245,80000,RED,778627
lin.27.1-2,demersal,NA,11613,11613,NA,NA,NA,NA,NA,NA,NA,NA,GREY,778627
pok.27.1-2,demersal,NA,181283,181283,NA,NA,0.231,2019,2019,NA,555377,NA,GREY,778627
reg.27.1-2,demersal,5.80952380952381,5340,5340,NA,0.0525,0.305,NA,NA,NA,NA,NA,GREY,778627
rng.27.1245a8914ab,demersal,NA,NA,240,NA,NA,NA,NA,NA,NA,NA,NA,GREY,778627
usk.27.1-2,demersal,NA,NA,10487,NA,NA,NA,NA,NA,NA,NA,NA,GREEN,778627
