StockKeyLabel,FisheriesGuild,F_FMSY,catches,landings,discards,FMSY,F,AssessmentYear,Year,SSB_MSYBtrigger,SSB,MSYBtrigger,Status,total
aru.27.123a4,pelagic,NA,NA,23859,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
bsf.27.nea,pelagic,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,GREY,1709856
cap.27.2a514,pelagic,NA,286500,286500,NA,NA,NA,2018,2018,NA,352000,NA,GREY,1709856
her.27.1-24a514a,pelagic,0.815286624203822,592899,592899,NA,0.157,0.128,2019,2019,1.24528894472362,3965000,3184000,GREEN,1709856
hom.27.2a4a5b6a7a-ce-k8,pelagic,1.17567567567568,101682,99072,2609,0.074,0.087,2019,2019,0.74711282988893,872831,1168272,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
mac.27.nea,pelagic,1.03478260869565,1026437,NA,NA,0.23,0.238,2019,2019,1.7248624,4312156,2500000,RED,1709856
reb.27.1-2,pelagic,NA,31201,31201,NA,NA,0.039,2018,2018,2.58503174603175,814285,315000,GREY,1709856
whb.27.1-91214,pelagic,1.23125,1709856,1709856,NA,0.32,0.394,2019,2019,2.47851066666667,5576649,2250000,RED,1709856
