type_var,YEAR,typeTotal
atlantic cod,1950,323.353
atlantic cod,1951,436.546
atlantic cod,1952,370.31
atlantic cod,1953,267.972
atlantic cod,1954,256.644
atlantic cod,1955,374.409
atlantic cod,1956,594.33
atlantic cod,1957,456.199
atlantic cod,1958,473.773
atlantic cod,1959,507.518
atlantic cod,1960,332.983
atlantic cod,1961,430.933
atlantic cod,1962,418.919
atlantic cod,1963,295.216
atlantic cod,1964,237.691
atlantic cod,1965,278.629
atlantic cod,1966,293.014
atlantic cod,1967,322.131
atlantic cod,1968,504.632
atlantic cod,1969,624.229
atlantic cod,1970,518.345
atlantic cod,1971,492.883
atlantic cod,1972,421.227
atlantic cod,1973,321.776
atlantic cod,1974,486.371
atlantic cod,1975,369.214
atlantic cod,1976,366.31
atlantic cod,1977,436.326
atlantic cod,1978,321.848
atlantic cod,1979,283.723
atlantic cod,1980,245.908
atlantic cod,1981,300.223
atlantic cod,1982,307.745
atlantic cod,1983,269.73
atlantic cod,1984,259.398
atlantic cod,1985,221.098
atlantic cod,1986,297.975
atlantic cod,1987,396.201
atlantic cod,1988,296.448
atlantic cod,1989,187.651
atlantic cod,1990,146.773
atlantic cod,1991,225.028
atlantic cod,1992,299.303
atlantic cod,1993,377.808
atlantic cod,1994,453.142
atlantic cod,1995,518.135
atlantic cod,1996,490.006
atlantic cod,1997,523.429
atlantic cod,1998,370.961
atlantic cod,1999,343.985
atlantic cod,2000,286.322
atlantic cod,2001,306.997
atlantic cod,2002,270.055
atlantic cod,2003,289.564
atlantic cod,2004,331.748
atlantic cod,2005,335.26
atlantic cod,2006,314.5725
atlantic cod,2007,303.6717
atlantic cod,2008,318.43541
atlantic cod,2009,368.5803
atlantic cod,2010,430.60291
atlantic cod,2011,519.0659
atlantic cod,2012,489.46968
atlantic cod,2013,607.0458
atlantic cod,2014,676.03824
atlantic cod,2015,613.00609
atlantic cod,2016,560.652695
atlantic cod,2017,584.420718
atlantic herring,1950,273.854
atlantic herring,1951,612.822
atlantic herring,1952,621.254
atlantic herring,1953,379.662
atlantic herring,1954,881.011
atlantic herring,1955,676.25
atlantic herring,1956,864.507
atlantic herring,1957,895.516
atlantic herring,1958,775.658
atlantic herring,1959,890.962
atlantic herring,1960,897.93
atlantic herring,1961,551.213
atlantic herring,1962,506.11
atlantic herring,1963,622.969
atlantic herring,1964,861.664
atlantic herring,1965,1045.845
atlantic herring,1966,1349.797
atlantic herring,1967,1246.676
atlantic herring,1968,335.357
atlantic herring,1969,47.056
atlantic herring,1970,61.746
atlantic herring,1971,22.255
atlantic herring,1972,13.129
atlantic herring,1973,8.53
atlantic herring,1974,8.356
atlantic herring,1975,5.011
atlantic herring,1976,1.916
atlantic herring,1977,12.729
atlantic herring,1978,9.813
atlantic herring,1979,3.16
atlantic herring,1980,10.309
atlantic herring,1981,10.531
atlantic herring,1982,12.576
atlantic herring,1983,17.477
atlantic herring,1984,48.809
atlantic herring,1985,66.728
atlantic herring,1986,101.434
atlantic herring,1987,117.258
atlantic herring,1988,125.662
atlantic herring,1989,96.593
